symbol,name,market,industry
4576.TW,大銀微系統,TW,電機機械
4581.TW,光隆精密-KY,TW,汽車工業
4583.TW,台灣精銳,TW,電機機械
4585.TW,達明,TW,其他電子業
4588.TW,玖鼎電力,TW,其他電子業
4590.TW,富田-創,TW,電機機械
4720.TW,德淵,TW,化學工業
4722.TW,國精化,TW,化學工業
4739.TW,康普,TW,化學工業
4755.TW,三福化,TW,化學工業
4763.TW,材料*-KY,TW,化學工業
4764.TW,雙鍵,TW,化學工業
4766.TW,南寶,TW,化學工業
4770.TW,上品,TW,化學工業
4904.TW,遠傳,TW,通信網路業
4906.TW,正文,TW,通信網路業
4912.TW,聯德控股-KY,TW,電子零組件業
4915.TW,致伸,TW,電子零組件業
4916.TW,事欣科,TW,電腦及週邊設備業
4919.TW,新唐,TW,半導體業
4927.TW,泰鼎-KY,TW,電子零組件業
4930.TW,燦星網,TW,電器電纜
4934.TW,太極,TW,光電業
4935.TW,茂林-KY,TW,光電業
4938.TW,和碩,TW,電腦及週邊設備業
4942.TW,嘉彰,TW,光電業
4943.TW,康控-KY,TW,電子零組件業
4949.TW,有成精密,TW,光電業
4952.TW,凌通,TW,半導體業
4956.TW,光鋐,TW,光電業
4958.TW,臻鼎-KY,TW,電子零組件業
4960.TW,誠美材,TW,光電業
4961.TW,天鈺,TW,半導體業
4967.TW,十銓,TW,半導體業
4968.TW,立積,TW,半導體業
4976.TW,佳凌,TW,光電業
4977.TW,眾達-KY,TW,通信網路業
4989.TW,榮科,TW,電子零組件業
4994.TW,傳奇,TW,資訊服務業
4999.TW,鑫禾,TW,電子零組件業
5007.TW,三星,TW,鋼鐵工業
5203.TW,訊連,TW,資訊服務業
5215.TW,科嘉-KY,TW,電腦及週邊設備業
5222.TW,全訊,TW,半導體業
5225.TW,東科-KY,TW,其他電子業
5234.TW,達興材料,TW,光電業
5236.TW,凌陽創新,TW,半導體業
5243.TW,乙盛-KY,TW,光電業
5244.TW,弘凱,TW,光電業
5258.TW,虹堡,TW,電腦及週邊設備業
5269.TW,祥碩,TW,半導體業
5283.TW,禾聯碩,TW,電器電纜
5284.TW,jpp-KY,TW,其他
5285.TW,界霖,TW,半導體業
5288.TW,豐祥-KY,TW,電機機械
5388.TW,中磊,TW,通信網路業
5434.TW,崇越,TW,電子通路業
5469.TW,瀚宇博,TW,電子零組件業
5471.TW,松翰,TW,半導體業
5484.TW,慧友,TW,光電業
5538.TW,東明-KY,TW,鋼鐵工業
5607.TW,遠雄港,TW,航運業
5608.TW,四維航,TW,航運業
5706.TW,鳳凰,TW,觀光餐旅
5871.TW,中租-KY,TW,其他
6108.TW,競國,TW,電子零組件業
6112.TW,邁達特,TW,資訊服務業
6115.TW,鎰勝,TW,電子零組件業
6116.TW,彩晶,TW,光電業
6117.TW,迎廣,TW,電腦及週邊設備業
6120.TW,達運,TW,光電業
6128.TW,上福,TW,電腦及週邊設備業
6133.TW,金橋,TW,電子零組件業
6136.TW,富爾特,TW,通信網路業
6139.TW,亞翔,TW,其他電子業
6141.TW,柏承,TW,電子零組件業
6142.TW,友勁,TW,通信網路業
6152.TW,百一,TW,通信網路業
6153.TW,嘉聯益,TW,電子零組件業
6155.TW,鈞寶,TW,電子零組件業
6164.TW,華興,TW,光電業
6165.TW,浪凡,TW,數位雲端
